attendance	team1	team2	goals	tie	pk	stage	round	year	date	time	stadium	referee	url
34107	Sweden	Mexico	Mar-00	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (14:00 h)	14:00	"RÌÄå´sunda (Solna, Stockholm)"	Nikolaj Latyshev (USSR)	1958_SWEDEN_FS.htm
31156	FRG	Argentina	1-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	MalmÌÄå_ Stadion (MalmÌÄå_)	Reginald Leafe (ENG)	1958_SWEDEN_FS.htm
10647	Northern Ireland	Czechoslovakia	Jan-00	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	ÌÄå_rjans Vall (Halmstad)	Fritz Seipelt (AUT)	1958_SWEDEN_FS.htm
16518	France	Paraguay	3-Jul	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	Idrottsparken (NorrkÌÄå_ping)	Juan GardeazÌÄåÁbal (SPA)	1958_SWEDEN_FS.htm
9591	Yugoslavia	Scotland	1-Jan	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	Arosvallen (VÌÄå_sterÌÄå´s)	Paul Wyssling (SWI)	1958_SWEDEN_FS.htm
15343	Hungary	Wales	1-Jan	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	Jernvallen (Sandviken)	JosÌÄå© MarÌÄå_a Codesal (URU)	1958_SWEDEN_FS.htm
49348	England	Soviet Union	2-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	IstvÌÄåÁn Zsolt (HUN)	1958_SWEDEN_FS.htm
17778	Brazil	Austria	Mar-00	FALSE	FALSE	GROUP STAGE	FALSE	1958	8-06-1958 (19:00 h)	19:00	Rimnersvallen (Uddevalla)	Maurice Guigue (FRA)	1958_SWEDEN_FS.htm
31156	FRG	Czechoslovakia	2-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	Olympiastadion (Helsingborg)	Arthur Ellis (ENG)	1958_SWEDEN_FS.htm
14174	Argentina	Northern Ireland	1-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	ÌÄå_rjans Vall (Halmstad)	Sten Ahlner (SWE)	1958_SWEDEN_FS.htm
11665	Paraguay	Scotland	2-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	Idrottsparken (NorrkÌÄå_ping)	Vincenzo Orlandini (ITA)	1958_SWEDEN_FS.htm
12217	Yugoslavia	France	2-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	Arosvallen (VÌÄå_sterÌÄå´s)	Mervyn Griffiths (WAL)	1958_SWEDEN_FS.htm
15150	Wales	Mexico	1-Jan	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	"RÌÄå´sunda (Solna, Stockholm)"	Leo LemeÌÉåÁiÌãåà (YUG)	1958_SWEDEN_FS.htm
40895	Brazil	England	-	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	Albert Dusch (FRG)	1958_SWEDEN_FS.htm
21239	Soviet Union	Austria	-	FALSE	FALSE	GROUP STAGE	FALSE	1958	11-06-1958 (19:00 h)	19:00	Ryavallen (BorÌÄå´s)	Carl JÌÄåürgensen (DEN)	1958_SWEDEN_FS.htm
38850	Sweden	Hungary	1-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	12-06-1958 (19:00 h)	19:00	"RÌÄå´sunda (Solna, Stockholm)"	John Mowatt (SCO)	1958_SWEDEN_FS.htm
30287	Sweden	Wales	-	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (14:00 h)	14:00	"RÌÄå´sunda (Solna, Stockholm)"	Lucien van Nuffel (BEL)	1958_SWEDEN_FS.htm
21990	FRG	Northern Ireland	2-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	MalmÌÄå_ Stadion (MalmÌÄå_)	Joaquim Fernandes Campos (POR)	1958_SWEDEN_FS.htm
16418	Czechoslovakia	Argentina	1-Jun	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Olympiastadion (Helsingborg)	Arthur Ellis (ENG)	1958_SWEDEN_FS.htm
13554	France	Scotland	1-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Eyravallen (ÌÄå_rebro)	Juan Regis Brozzi (ARG)	1958_SWEDEN_FS.htm
13103	Yugoslavia	Paraguay	3-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Tunavallen (Eskilstuna)	Martin MaÌãåçko (CZE)	1958_SWEDEN_FS.htm
13310	Hungary	Mexico	Apr-00	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Jernvallen (Sandviken)	Aarne Eriksson (FIN)	1958_SWEDEN_FS.htm
50928	Brazil	Soviet Union	Feb-00	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	Maurice Guigue (FRA)	1958_SWEDEN_FS.htm
15872	England	Austria	2-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1958	15-06-1958 (19:00 h)	19:00	Ryavallen (BorÌÄå´s)	Jan Bronkhorst (NED)	1958_SWEDEN_FS.htm
6196	Northern Ireland	Czechoslovakia	1-Feb	TRUE	FALSE	GROUP STAGE	FALSE	1958	17-06-1958 (19:00 h)	19:00	MalmÌÄå_ Stadion (MalmÌÄå_)	Maurice Guigue (FRA)	1958_SWEDEN_FS.htm
2823	Wales	Hungary	1-Feb	TRUE	FALSE	GROUP STAGE	FALSE	1958	17-06-1958 (19:00 h)	19:00	"RÌÄå´sunda (Solna, Stockholm)"	Nikolaj Latyshev (USSR)	1958_SWEDEN_FS.htm
23182	Soviet Union	England	Jan-00	TRUE	FALSE	GROUP STAGE	FALSE	1958	17-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	Albert Dusch (FRG)	1958_SWEDEN_FS.htm
31900	Sweden	Soviet Union	Feb-00	FALSE	FALSE	1/4 FINAL	FALSE	1958	19-06-1958 (14:00 h)	14:00	"RÌÄå´sunda (Solna, Stockholm)"	Reginald Leafe (ENG)	1958_SWEDEN_FS.htm
20055	FRG	Yugoslavia	Jan-00	FALSE	FALSE	1/4 FINAL	FALSE	1958	19-06-1958 (19:00 h)	19:00	MalmÌÄå_ Stadion (MalmÌÄå_)	Paul Wyssling (SWI)	1958_SWEDEN_FS.htm
11800	France	Northern Ireland	Apr-00	FALSE	FALSE	1/4 FINAL	FALSE	1958	19-06-1958 (19:00 h)	19:00	Idrottsparken (NorrkÌÄå_ping)	Juan GardeazÌÄåÁbal (SPA)	1958_SWEDEN_FS.htm
25923	Brazil	Wales	Jan-00	FALSE	FALSE	1/4 FINAL	FALSE	1958	19-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	Fritz Seipelt (AUT)	1958_SWEDEN_FS.htm
49471	Sweden	FRG	1-Mar	FALSE	FALSE	1/2 FINAL	FALSE	1958	24-06-1958 (19:00 h)	19:00	Nya Ullevi (GÌÄå_teborg)	IstvÌÄåÁn Zsolt (HUN)	1958_SWEDEN_FS.htm
27100	Brazil	France	2-May	FALSE	FALSE	1/2 FINAL	FALSE	1958	24-06-1958 (19:00 h)	19:00	"RÌÄå´sunda (Solna, Stockholm)"	Mervyn Griffiths (WAL)	1958_SWEDEN_FS.htm
32482	France	FRG	3-Jun	FALSE	FALSE	PLACES 3-4	FALSE	1958	28-06-1958 (17:00 h)	17:00	Nya Ullevi (GÌÄå_teborg)	Juan Regis Brozzi (ARG)	1958_SWEDEN_FS.htm
49737	Brazil	Sweden	2-May	FALSE	FALSE	FINAL ROUND	FALSE	1958	29-06-1958 (15:00 h)	15:00	"RÌÄå´sunda (Solna, Stockholm)"	Maurice Guigue (FRA)	1958_SWEDEN_FS.htm
95000	Argentina	Belgium	0-1	FALSE	FALSE	GROUP STAGE	first	1982	13-06-1982 (20:00 h)	20:00	Camp Nou (Barcelona)	VojtÌãå_ch Christov (CZE)	1982_SPAIN_FS.htm
22000	Italy	Poland	-	FALSE	FALSE	GROUP STAGE	first	1982	14-06-1982 (17:15 h)	17:15	BalaÌÄå_dos (Vigo)	Michel Vautrot (FRA)	1982_SPAIN_FS.htm
50000	Brazil	Soviet Union	1-Feb	FALSE	FALSE	GROUP STAGE	first	1982	14-06-1982 (21:00 h)	21:00	RamÌÄå_n SÌÄåÁnchez PizjuÌÄåÁn (Sevilla)	Augusto Lamo Castillo (SPA)	1982_SPAIN_FS.htm
15000	Peru	Cameroon	-	FALSE	FALSE	GROUP STAGE	first	1982	15-06-1982 (17:15 h)	17:15	Riazor (La CoruÌÄå±a)	Franz WÌÄå_hrer (AUT)	1982_SPAIN_FS.htm
23000	Hungary	El Salvador	1-Oct	FALSE	FALSE	GROUP STAGE	first	1982	15-06-1982 (21:00 h)	21:00	Nuevo Estadio (Elche)	Ibrahim Al-Doy (BHR)	1982_SPAIN_FS.htm
22000	Scotland	New Zealand	2-May	FALSE	FALSE	GROUP STAGE	first	1982	15-06-1982 (21:00 h)	21:00	La Rosaleda (MÌÄåÁlaga)	David Socha (USA)	1982_SPAIN_FS.htm
25000	FRG	Algeria	2-Jan	FALSE	FALSE	GROUP STAGE	first	1982	16-06-1982 (17:15 h)	17:15	El MolinÌÄå_n (GijÌÄå_n)	Enrique LabÌÄå_ (PER)	1982_SPAIN_FS.htm
44172	England	France	1-Mar	FALSE	FALSE	GROUP STAGE	first	1982	16-06-1982 (17:15 h)	17:15	San MamÌÄå©s (Bilbao)	AntÌÄå_nio JosÌÄå© da Silva Garrido (POR)	1982_SPAIN_FS.htm
49562	Spain	Honduras	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	16-06-1982 (21:00 h)	21:00	Luis Casanova (Valencia)	Arturo AndrÌÄå©s Iturralde (ARG)	1982_SPAIN_FS.htm
22000	Chile	Austria	0-1	FALSE	FALSE	GROUP STAGE	first	1982	17-06-1982 (17:15 h)	17:15	Carlos Tartiere (Oviedo)	Juan Daniel Cardellino (URU)	1982_SPAIN_FS.htm
12000	Czechoslovakia	Kuwait	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	17-06-1982 (17:15 h)	17:15	Nuevo JosÌÄå© Zorrilla (Valladolid)	Benjamin Dwomoh (GHA)	1982_SPAIN_FS.htm
18000	Yugoslavia	Northern Ireland	-	FALSE	FALSE	GROUP STAGE	first	1982	17-06-1982 (21:00 h)	21:00	La Romareda (Zaragoza)	Erik Fredriksson (SWE)	1982_SPAIN_FS.htm
25000	Italy	Peru	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	18-06-1982 (17:15 h)	17:15	BalaÌÄå_dos (Vigo)	Walter Eschweiler (FRG)	1982_SPAIN_FS.htm
32093	Argentina	Hungary	1-Apr	FALSE	FALSE	GROUP STAGE	first	1982	18-06-1982 (21:00 h)	21:00	JosÌÄå© Rico PÌÄå©rez (Alicante)	BelaÌÄåød Lacarne (ALG)	1982_SPAIN_FS.htm
47379	Brazil	Scotland	1-Apr	FALSE	FALSE	GROUP STAGE	first	1982	18-06-1982 (21:00 h)	21:00	Benito VillamarÌÄå_n (Sevilla)	Luis Paulino Siles (CRC)	1982_SPAIN_FS.htm
12000	Poland	Cameroon	-	FALSE	FALSE	GROUP STAGE	first	1982	19-06-1982 (17:15 h)	17:15	Riazor (La CoruÌÄå±a)	Alexis Ponnet (BEL)	1982_SPAIN_FS.htm
6000	Belgium	El Salvador	Jan-00	FALSE	FALSE	GROUP STAGE	first	1982	19-06-1982 (21:00 h)	21:00	Nuevo Estadio (Elche)	Malcolm Moffatt (NIR)	1982_SPAIN_FS.htm
17000	Soviet Union	New Zealand	Mar-00	FALSE	FALSE	GROUP STAGE	first	1982	19-06-1982 (21:00 h)	21:00	La Rosaleda (MÌÄåÁlaga)	Yousef el-Ghoul (LYB)	1982_SPAIN_FS.htm
40000	FRG	Chile	1-Apr	FALSE	FALSE	GROUP STAGE	first	1982	20-06-1982 (17:15 h)	17:15	El MolinÌÄå_n (GijÌÄå_n)	Bruno Galler (SWI)	1982_SPAIN_FS.htm
44182	England	Czechoslovakia	Feb-00	FALSE	FALSE	GROUP STAGE	first	1982	20-06-1982 (17:15 h)	17:15	San MamÌÄå©s (Bilbao)	Charles Corver (NED)	1982_SPAIN_FS.htm
47500	Spain	Yugoslavia	1-Feb	FALSE	FALSE	GROUP STAGE	first	1982	20-06-1982 (21:00 h)	21:00	Luis Casanova (Valencia)	Henning Lund-SÌÄåürensen (DEN)	1982_SPAIN_FS.htm
22000	Algeria	Austria	0-2	FALSE	FALSE	GROUP STAGE	first	1982	21-06-1982 (17:15 h)	17:15	Carlos Tartiere (Oviedo)	Tony BoÌÉåÁkoviÌãåà (AUS)	1982_SPAIN_FS.htm
30043	France	Kuwait	1-Apr	FALSE	FALSE	GROUP STAGE	first	1982	21-06-1982 (17:15 h)	17:15	Nuevo JosÌÄå© Zorrilla (Valladolid)	Miroslav Stupar (USSR)	1982_SPAIN_FS.htm
15000	Honduras	Northern Ireland	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	21-06-1982 (21:00 h)	21:00	La Romareda (Zaragoza)	Chan Tam-Sun (HKG)	1982_SPAIN_FS.htm
16000	Poland	Peru	1-May	FALSE	FALSE	GROUP STAGE	first	1982	22-06-1982 (17:15 h)	17:15	Riazor (La CoruÌÄå±a)	Mario Rubio (MEX)	1982_SPAIN_FS.htm
22000	Belgium	Hungary	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	22-06-1982 (21:00 h)	21:00	Nuevo Estadio (Elche)	Clive White (ENG)	1982_SPAIN_FS.htm
30000	Soviet Union	Scotland	2-Feb	FALSE	FALSE	GROUP STAGE	first	1982	22-06-1982 (21:00 h)	21:00	La Rosaleda (MÌÄåÁlaga)	Nicolae Rainea (ROM)	1982_SPAIN_FS.htm
17000	Italy	Cameroon	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	23-06-1982 (17:15 h)	17:15	BalaÌÄå_dos (Vigo)	Bogdan Dochev (BUL)	1982_SPAIN_FS.htm
18000	Argentina	El Salvador	Feb-00	FALSE	FALSE	GROUP STAGE	first	1982	23-06-1982 (21:00 h)	21:00	JosÌÄå© Rico PÌÄå©rez (Alicante)	Luis Barrancos (BOL)	1982_SPAIN_FS.htm
32000	Brazil	New Zealand	Apr-00	FALSE	FALSE	GROUP STAGE	first	1982	23-06-1982 (21:00 h)	21:00	Benito VillamarÌÄå_n (Sevilla)	Damir MatovinoviÌãåà (YUG)	1982_SPAIN_FS.htm
18000	Algeria	Chile	2-Mar	FALSE	FALSE	GROUP STAGE	first	1982	24-06-1982 (17:15 h)	17:15	Carlos Tartiere (Oviedo)	RÌÄå_mulo MÌÄå©ndez (GUA)	1982_SPAIN_FS.htm
28000	France	Czechoslovakia	1-Jan	FALSE	FALSE	GROUP STAGE	first	1982	24-06-1982 (17:15 h)	17:15	Nuevo JosÌÄå© Zorrilla (Valladolid)	Paolo Casarin (ITA)	1982_SPAIN_FS.htm
12000	Honduras	Yugoslavia	0-1	FALSE	FALSE	GROUP STAGE	first	1982	24-06-1982 (21:00 h)	21:00	La Romareda (Zaragoza)	GastÌÄå_n Castro (CHI)	1982_SPAIN_FS.htm
41000	FRG	Austria	Jan-00	FALSE	FALSE	GROUP STAGE	first	1982	25-06-1982 (17:15 h)	17:15	El MolinÌÄå_n (GijÌÄå_n)	Robert Valentine (SCO)	1982_SPAIN_FS.htm
31000	England	Kuwait	Jan-00	FALSE	FALSE	GROUP STAGE	first	1982	25-06-1982 (17:15 h)	17:15	San MamÌÄå©s (Bilbao)	Gilberto AristizÌÄåÁbal (COL)	1982_SPAIN_FS.htm
49562	Northern Ireland	Spain	Jan-00	FALSE	FALSE	GROUP STAGE	first	1982	25-06-1982 (21:00 h)	21:00	Luis Casanova (Valencia)	HÌÄå©ctor Ortiz (PAR)	1982_SPAIN_FS.htm
30000	Austria	France	0-1	FALSE	FALSE	GROUP STAGE	second	1982	28-06-1982 (17:15 h)	17:15	Vicente CalderÌÄå_n (Madrid)	KÌÄåÁroly Palotai (HUN)	1982_SPAIN_FS.htm
30000	Poland	Belgium	Mar-00	FALSE	FALSE	GROUP STAGE	second	1982	28-06-1982 (21:00 h)	21:00	Camp Nou (Barcelona)	Luis Paulino Siles (CRC)	1982_SPAIN_FS.htm
39000	Italy	Argentina	1-Feb	FALSE	FALSE	GROUP STAGE	second	1982	29-06-1982 (17:15 h)	17:15	SarriÌÄåÁ (Barcelona)	Nicolae Rainea (ROM)	1982_SPAIN_FS.htm
75000	FRG	England	-	FALSE	FALSE	GROUP STAGE	second	1982	29-06-1982 (21:00 h)	21:00	Santiago BernabÌÄå©u (Madrid)	Arnaldo CÌÄå©sar Coelho (BRA)	1982_SPAIN_FS.htm
24000	Austria	Northern Ireland	2-Feb	FALSE	FALSE	GROUP STAGE	second	1982	1-07-1982 (17:15 h)	17:15	Vicente CalderÌÄå_n (Madrid)	Adolf Prokop (GDR)	1982_SPAIN_FS.htm
25000	Belgium	Soviet Union	0-1	FALSE	FALSE	GROUP STAGE	second	1982	1-07-1982 (21:00 h)	21:00	Camp Nou (Barcelona)	Michel Vautrot (FRA)	1982_SPAIN_FS.htm
44000	Argentina	Brazil	3-Jan	FALSE	FALSE	GROUP STAGE	second	1982	2-07-1982 (17:15 h)	17:15	SarriÌÄåÁ (Barcelona)	Mario Rubio (MEX)	1982_SPAIN_FS.htm
90089	FRG	Spain	1-Feb	FALSE	FALSE	GROUP STAGE	second	1982	2-07-1982 (21:00 h)	21:00	Santiago BernabÌÄå©u (Madrid)	Paolo Casarin (ITA)	1982_SPAIN_FS.htm
30000	France	Northern Ireland	1-Apr	FALSE	FALSE	GROUP STAGE	second	1982	4-07-1982 (17:15 h)	17:15	Vicente CalderÌÄå_n (Madrid)	Alojzy Jarguz (POL)	1982_SPAIN_FS.htm
45000	Poland	Soviet Union	-	FALSE	FALSE	GROUP STAGE	second	1982	4-07-1982 (21:00 h)	21:00	Camp Nou (Barcelona)	Robert Valentine (SCO)	1982_SPAIN_FS.htm
44000	Italy	Brazil	2-Mar	FALSE	FALSE	GROUP STAGE	second	1982	5-07-1982 (17:15 h)	17:15	SarriÌÄåÁ (Barcelona)	Abraham Klein (ISR)	1982_SPAIN_FS.htm
65000	Spain	England	-	FALSE	FALSE	GROUP STAGE	second	1982	5-07-1982 (21:00 h)	21:00	Santiago BernabÌÄå©u (Madrid)	Alexis Ponnet (BEL)	1982_SPAIN_FS.htm
55000	Poland	Italy	0-2	FALSE	FALSE	1/2 FINAL	FALSE	1982	8-07-1982 (17:15 h)	17:15	Camp Nou (Barcelona)	Juan Daniel Cardellino (URU)	1982_SPAIN_FS.htm
71000	FRG	France	3-Mar	FALSE	0-1 (Giresse); 1-1 (Kaltz) / 1-2 (AmorÌÄå_s); 2-2 (Breitner) / 2-3 (Rocheteau); 2-3 (Stielike [saved]) / 2-3 (Six [saved]); 3-3 (Littbarski) / 3-4 (Platini); 4-4 (Rummenigge) // [decisive shots] 4-4 (Bossis [saved]); 5-4 (Hrubesch)	1/2 FINAL	FALSE	1982	8-07-1982 (21:00 h)	21:00	RamÌÄå_n SÌÄåÁnchez PizjuÌÄåÁn (Sevilla)	Charles Corver (NED)	1982_SPAIN_FS.htm
28000	Poland	France	2-Mar	FALSE	FALSE	PLACES 3-4	FALSE	1982	10-07-1982 (20:00 h)	20:00	JosÌÄå© Rico PÌÄå©rez (Alicante)	AntÌÄå_nio JosÌÄå© da Silva Garrido (POR)	1982_SPAIN_FS.htm
90089	Italy	FRG	1-Mar	FALSE	FALSE	FINAL ROUND	FALSE	1982	11-07-1982 (20:00 h)	20:00	Santiago BernabÌÄå©u (Madrid)	Arnaldo CÌÄå©sar Coelho (BRA)	1982_SPAIN_FS.htm
87148	England	Uruguay	-	FALSE	FALSE	GROUP STAGE	FALSE	1966	11-07-1966 (19:30 h)	19:30	Wembley (London)	IstvÌÄåÁn Zsolt (HUN)	1966_ENGLAND_FS.htm
36127	FRG	Switzerland	May-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	12-07-1966 (19:30 h)	19:30	Hillsborough (Sheffield)	Hugh Phillips (SCO)	1966_ENGLAND_FS.htm
47308	Brazil	Bulgaria	Feb-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	12-07-1966 (19:30 h)	19:30	Goodison Park (Liverpool)	Kurt Tschenscher (FRG)	1966_ENGLAND_FS.htm
23006	Soviet Union	North Korea	Mar-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	12-07-1966 (19:30 h)	19:30	Ayresome Park (Middlesbrough)	Juan GardeazÌÄåÁbal (SPA)	1966_ENGLAND_FS.htm
69237	France	Mexico	1-Jan	FALSE	FALSE	GROUP STAGE	FALSE	1966	13-07-1966 (19:30 h)	19:30	Wembley (London)	Menachem Ashkenazi (ISR)	1966_ENGLAND_FS.htm
42738	Argentina	Spain	1-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1966	13-07-1966 (19:30 h)	19:30	Villa Park (Birmingham)	DimitÌãåÄr Rumenchev (BUL)	1966_ENGLAND_FS.htm
29886	Portugal	Hungary	1-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1966	13-07-1966 (19:30 h)	19:30	Old Trafford (Manchester)	Leo Callaghan (WAL)	1966_ENGLAND_FS.htm
27199	Italy	Chile	Feb-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	13-07-1966 (19:30 h)	19:30	Roker Park (Sunderland)	Gottfried Dienst (SWI)	1966_ENGLAND_FS.htm
45662	Uruguay	France	1-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1966	15-07-1966 (19:30 h)	19:30	White City (London)	Karol Galba (CZE)	1966_ENGLAND_FS.htm
32028	Spain	Switzerland	1-Feb	FALSE	FALSE	GROUP STAGE	FALSE	1966	15-07-1966 (19:30 h)	19:30	Hillsborough (Sheffield)	Tofik Bakhramov(USSR)	1966_ENGLAND_FS.htm
51387	Hungary	Brazil	1-Mar	FALSE	FALSE	GROUP STAGE	FALSE	1966	15-07-1966 (19:30 h)	19:30	Goodison Park (Liverpool)	Kenneth Dagnall (ENG)	1966_ENGLAND_FS.htm
13792	North Korea	Chile	1-Jan	FALSE	FALSE	GROUP STAGE	FALSE	1966	15-07-1966 (19:30 h)	19:30	Ayresome Park (Middlesbrough)	Ali Hussein Kandil (UAR)	1966_ENGLAND_FS.htm
46587	FRG	Argentina	-	FALSE	FALSE	GROUP STAGE	FALSE	1966	16-07-1966 (15:00 h)	15:00	Villa Park (Birmingham)	Konstantin ZeÌãåçeviÌãåà (YUG)	1966_ENGLAND_FS.htm
25438	Portugal	Bulgaria	Mar-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	16-07-1966 (15:00 h)	15:00	Old Trafford (Manchester)	JosÌÄå© MarÌÄå_a Codesal (URU)	1966_ENGLAND_FS.htm
27793	Soviet Union	Italy	Jan-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	16-07-1966 (15:00 h)	15:00	Roker Park (Sunderland)	Rudolf Kreitlein (FRG)	1966_ENGLAND_FS.htm
92570	England	Mexico	Feb-00	FALSE	FALSE	GROUP STAGE	FALSE	1966	16-07-1966 (19:30 h)	19:30	Wembley (London)	Concetto lo Bello (ITA)	1966_ENGLAND_FS.htm
61112	Mexico	Uruguay	-	FALSE	FALSE	GROUP STAGE	FALSE	1966	19-07-1966 (16:30 h)	16:30	Wembley (London)	Bertil LÌÄå_ÌÄå_w (SWE)	1966_ENGLAND_FS.htm
